stationcode,name,address,latitude,longitude,brand
2302,Ampol Banksmeadow Diesel Stop,"1-3 Penrhyn Rd, BANKSMEADOW NSW 2019",-33.963415,151.215444,Ampol
2303,Ampol Dubbo North Diesel Stop,"Lot 51 Bourke St (newell Hwy) Cnr River St, DUBBO NORTH NSW 2830",-32.233601,148.611759,Ampol
2304,Access Fuels Ebor,"1 Ebor St, EBOR NSW 2453",-30.397839,152.352838,Independent
2305,Ampol Foodary Strathfield South,"600 Liverpool Rd, STRATHFIELD SOUTH NSW 2136",-33.888188,151.074621,Ampol Foodary
2306,BP Narellan,"271 Camden Valley Way, NARELLAN NSW 2567",-34.041804,150.730913,BP
2309,Snowy Valley Service Centre,"5332 Kosciuszko Rd, EAST JINDABYNE NSW 2627",-36.394047,148.65213,Metro Fuel
2311,Ampol Port Macquarie,"12-14 Bolwarra Rd, PORT MACQUARIE NSW 2444",-31.450165,152.885319,Ampol
2312,Ampol Foodary Cambridge Park,"Lot 6 Star Court, CAMBRIDGE PARK NSW 2747",-33.740603,150.71723,Ampol Foodary
2315,Coombes Transport,"28 PERRY ST, MENINDEE NSW 2879",-32.38857726,142.4145289,Ampol
2319,Metro Fuel Ulladulla,"74 Princess Highway, ULLADULLA NSW 2539",-35.350742,150.475984,Metro Fuel
2322,Ampol Foodary Werrington,"Dunheved Road, WERRINGTON NSW 2747",-33.745821,150.741051,Ampol Foodary
2324,Shell Oberon,"1 Horace St, OBERON NSW 2787",-33.698365,149.859187,Shell
2326,Sussex Inlet Service Station,"1 Jacobs Dr, SUSSEX INLET NSW 2540",-35.158315,150.584045,Independent
2331,BP Penshurst,"494 Forest Rd, PENSHURST NSW 2222",-33.96333,151.090139,BP
2336,Ampol Foodary Dural,"917-923 Old Northern Rd, DURAL NSW 2158",-33.68313,151.028749,Ampol Foodary
2337,Ampol Foodary Cherrybrook,"67 Shepherds Dr, CHERRYBROOK NSW 2126",-33.720696,151.045165,Ampol Foodary
2338,Ampol Foodary Ermington,"560-562 Victoria Road, ERMINGTON NSW 2115",-33.81396,151.054799,Ampol Foodary
2341,Pearl Energy Clarendon,"244 Hawkesbury Valley Way, CLARENDON NSW 2756",-33.60837,150.789218,Pearl Energy
2342,Ampol Foodary Revesby,"181 The River Rd, REVESBY NSW 2212",-33.955843,151.017295,Ampol Foodary
2346,Fuel Plus Harrington,"85 Beach St, HARRINGTON NSW 2427",-31.871649,152.682515,Independent
2347,Ampol Foodary Port Macquarie,"29 Lord St, PORT MACQUARIE NSW 2444",-31.433245,152.917056,Ampol Foodary
2349,Ampol Foodary Kensington,"211-213 Anzac Parade, KENSINGTON NSW 2033",-33.91465,151.225163,Ampol Foodary
2350,BOOST FUEL BARGO,"116-118 Railside Ave, BARGO NSW 2574",-34.292913,150.579983,Boost Fuel
2356,Ampol Foodary Lakemba,"516 Punchbowl Rd, LAKEMBA NSW 2195",-33.911622,151.073203,Ampol Foodary
2359,MOBIL YENDA ROADHOUSE,"30-32 Mirrool Ave, YENDA NSW 2681",-34.249503,146.198155,Mobil
2360,United Bulahdelah,"9999 Pacific Hwy, BULAHDELAH NSW 2423",-32.386103,152.228612,United
2362,Ampol Foodary Carlingford,"131 Pennant Hills Rd, CARLINGFORD NSW 2118",-33.787648,151.027913,Ampol Foodary
2363,Metro Tuggerah,"150 Pacific Hwy, TUGGERAH NSW 2259",-33.300491,151.420879,Metro Fuel
2364,Ampol Foodary Kellyville,"3-5 Windsor Rd, KELLYVILLE NSW 2155",-33.714327,150.960633,Ampol Foodary
2366,Invergowrie General Store,"Invergowrie Store 171 Invergowrie Rd, INVERGOWRIE NSW 2350",-30.519704,151.528389,Independent
2368,Ampol Foodary Rutherford,"134-138 New England Highway, RUTHERFORD NSW 2320",-32.720367,151.538027,Ampol Foodary
2372,Metro Warners Bay,"1 Warners Bay Rd, WARNERS BAY NSW 2282",-32.981744,151.646174,Metro Fuel
2374,Ampol Foodary Granville,"144 Parramatta Rd, GRANVILLE NSW 2142",-33.830266,151.010762,Ampol Foodary
2376,Ampol Denman,"8 Ogilvie St, DENMAN NSW 2328",-32.389648,150.689138,Ampol
2382,Ampol Foodary Belmont North,"406 Pacific Hwy, BELMONT NORTH NSW 2280",-33.024759,151.662385,Ampol Foodary
2378,Ampol Foodary Muswellbrook,"84-86 Maitland St, MUSWELLBROOK NSW 2333",-32.277957,150.897954,Ampol Foodary
2380,Liberty Broadwater,"7-9 Pacific Hwy, BROADWATER NSW 2472",-29.019977,153.423829,Liberty
2381,Ampol Foodary Armidale Girraween,"6-8 Queen Elizabeth Dr, ARMIDALE NSW 2350",-30.503375,151.651003,Ampol Foodary
2383,Ampol Foodary Kingsgrove,"351-357 Stoney Creek, KINGSGROVE NSW 2208",-33.951446,151.092424,Ampol Foodary
2386,Ampol Foodary Charlestown,"81 Pacific Hwy, CHARLESTOWN NSW 2290",-32.967285,151.695368,Ampol Foodary
2391,Ampol Foodary Rosebery,"321 Gardeners Rd, ROSEBERY NSW 2018",-33.922956,151.205899,Ampol Foodary
2393,Pearl Energy Cessnock,"102 Wollombi Rd, CESSNOCK NSW 2325",-32.83837,151.343653,Pearl Energy
2394,Metro Glossodia,"450 Creek Ridge Road, GLOSSODIA NSW 2756",-33.545745,150.794615,Metro Fuel
2398,BP Wilton,"1109 Argyle St, WILTON NSW 2571",-34.24056,150.699023,BP
2399,BP Young Roadhouse,"Young Roadhouse 4623 Olympic Hwy, YOUNG NSW 2594",-34.337558,148.282473,BP
2401,BP Ingleburn,"Cnr Williamson & McDonald Road, INGLEBURN NSW 2565",-33.988541,150.859532,BP
2402,7-Eleven Revesby South,"102 Milperra Rd, REVESBY NSW 2212",-33.935593,151.009208,7-Eleven
2403,Ampol Foodary Manly,"86 Pittwater Rd, MANLY NSW 2095",-33.793069,151.285802,Ampol Foodary
2404,Ampol Foodary Brookvale,"740-742 Pittwater Rd, BROOKVALE NSW 2100",-33.761424,151.274598,Ampol Foodary
2405,U-Go Lake Munmorah (self-serve),"1135 Pacific Highway, LAKE MUNMORAH NSW 2259",-33.186409,151.552225,U-Go
2416,Hillston Hardware Mobil Service Station,"8 Grattan St, HILLSTON NSW 2675",-33.488033,145.533114,Mobil
2417,Metro Tamworth,"360 Armidale Rd, EAST TAMWORTH NSW 2340",-31.114077,150.961366,Metro Fuel
2421,Ampol Foodary Lightning Ridge,"Cnr Onyx St, LIGHTNING RIDGE NSW 2834",-29.429312,147.974698,Ampol Foodary
2422,Ampol Foodary Moree,"54 Alice St, MOREE NSW 2400",-29.471495,149.84344,Ampol Foodary
2425,White Cliffs Outback Store Pty Ltd,"Cnr Keraro Rd & Johnston St, WHITE CLIFFS NSW 2836",-31.0204002,143.0403618,Mobil
2426,Tibooburra Food & Fuel,"49 Briscoe St, TIBOOBURRA NSW 2880",-29.43,142.0111,Independent
2427,Pacific Fuel Solutions,"11 Hanlon Street, PARKES NSW 2870",-33.154183,148.159711,Mobil
2430,Costco Marsden Park (Members only),"10 Langford Drive, MARSDEN PARK NSW 2765",-33.722985,150.840858,Costco
2432,Guyra Fourways Service Centre,"87-89 Bradley St, GUYRA NSW 2365",-30.217283,151.672271,Liberty
2434,Packsaddle Roadhouse,"Packsaddle Roadhouse 17242 Silver City Hwy, PACKSADDLE NSW 2880",-30.610225,141.96671,Independent
2436,Ampol Foodary Waitara,"59-61 Pacific Highway, WAITARA NSW 2077",-33.710531,151.102447,Ampol Foodary
2439,United Terrey HILLS,"43 Booralie Rd, TERREY HILLS NSW 2084",-33.680181,151.225022,United
2440,Ampol Foodary Randwick,"2 Alison Rd, RANDWICK NSW 2031",-33.906604,151.232031,Ampol Foodary
2441,Mobil Five Ways Servo Tumut,"3 Blowering Rd, TUMUT NSW 2720",-35.311298,148.23069,Mobil
2442,Ampol Foodary Wentworthville,"313 Great Western Hwy, SOUTH WENTWORTHVILLE NSW 2145",-33.816223,150.971793,Ampol Foodary
2444,Metro Petroleum Goulburn,"62-68 Clinton Street, GOULBURN NSW 2580",-34.757136,149.714125,Metro Fuel
2447,Stewarts Garage,"60 Bombala Street, DELEGATE NSW 2633",-37.044002,148.939835,Caltex
2448,BP Nambucca T/C,"2 Corkwood Rd, VALLA NSW 2448",-30.627211,152.972277,BP
2452,Metro Yagoona,"585 Hume Hwy, YAGOONA NSW 2199",-33.906106,151.014058,Metro Fuel
2453,United Tenterfield,"94 Rouse St, TENTERFIELD NSW 2372",-29.06241,152.017206,United
2459,Ampol Foodary Forresters Beach,"The Entrance, FORRESTERS BEACH NSW 2260",-33.40061,151.468836,Ampol Foodary
2460,Metro Petroleum Belmore,"442 Punchbowl Rd, BELMORE NSW 2192",-33.907933,151.076962,Metro Fuel
2461,Metro Petroleum Cootamundra,"111 Sutton St, COOTAMUNDRA NSW 2590",-34.644482,148.024038,Metro Fuel
2462,Metro Petroleum Heatherbrae,"206 Adelaide Street, HEATHERBRAE NSW 2324",-32.780587,151.737605,Metro Fuel
2463,Ampol Foodary Penrith,"2 Lugard St, PENRITH NSW 2750",-33.734363,150.693335,Ampol Foodary
2464,BP Termeil,"1600 Princes Hwy, TERMEIL NSW 2539",-35.4857525,150.3381923,BP
2467,Ampol Tahmoor,"2900 REMEMBRANCE DVWY, BARGO NSW 2574",-34.24456118,150.57791151,Ampol
2465,U-Go Carlingford Court (Self- serve),"797 Pennant Hills Road, CARLINGFORD NSW 2118",-33.775823,151.051729,U-Go
2471,Ampol Rutherford Diesel Stop,"83 Mustang Dr, RUTHERFORD NSW 2320",-32.704828,151.498701,Ampol
2472,Ampol Foodary Tempe,"775 Princes Hwy, TEMPE NSW 2044",-33.925315,151.160059,Ampol Foodary
2473,Mobil Muswellbrook,"49-51 Maitland St, MUSWELLBROOK NSW 2333",-32.2721887,150.8900116,Mobil
